<tab:did_pooled_ech_labor>
 .03156388	  .0027645	 .40424612	 .25872593	 .00537401	-.00386606
 .00971423	 .01028521	 .71812691	 1.1009646	 .02080005	 .02636097
     95824	     41325	     54469	     25249	     54469	     25249
 .03645543	 .04228381	 .56313158	  1.463593	 .00377187	 .00654446
 .00958736	 .02178166	 .86745592	 1.3178361	 .02452887	 .03120582
     62363	     13928	     34133	      8859	     34133	      8859
 .03804136	 -.0044131	 .08085805	 .46129746	 .00793847	-.02085778
 .01872239	 .01221567	 .96899747	 1.1288333	 .02945355	 .02469083
     33461	     27397	     20336	     16390	     20336	     16390
  .0412278	 .00801034	 1.0645841	 .69073421	 -.0095658	-.01096437
 .00643562	 .00912096	 .78410595	 1.0741637	 .02152599	 .02661724
     54410	     29360	     33101	     16807	     33101	     16807
 .02207401	-.00917783	-.41310984	 -.5652805	 .02328404	 .01200865
 .01654125	 .02543126	 .73624144	 1.5190619	 .02339035	 .04399267
     41414	     11965	     21368	      8442	     21368	      8442
